token_id	decoded	status	compat_popcount	signature
1000	'\x00'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1001	'\x01'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1002	'\x02'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1003	'\x03'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1004	'\x04'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1005	'\x05'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1006	'\x06'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1007	'\x07'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1008	'\x08'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1009	'\t'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
