policy_evaluation_sample_id,source_doc_id,evaluation_tasks,evaluation_reasons,sampling_strata,candidate_error_type_ids,candidate_action,confidence,quality_bin,host,url,chars_before,doc_text_path,prior_review_label,prior_review_correct_action,review_label,review_correct_action,review_good_text_loss_risk,review_false_positive_reason,review_false_negative_error_ids,review_notes
pe_0001_74570fcda8,hplt::10_1.jsonl.zst::0007f3ca3b231b179421eace854dba09,"[""action_precision_quarantine"", ""error_precision_E009"", ""wds_bin_10_review""]","[""candidate_action_quarantine"", ""candidate_error_E009"", ""wds_bin_10_stratum""]","[""action_precision_quarantine"", ""error_precision_E009"", ""wds_bin_10""]","[""E004"", ""E009"", ""E010"", ""E017"", ""E019""]",quarantine,0.253125,10,docplayer.gr,http://docplayer.gr/7802246-H-ek-o-h-ths-elassonas.html,163136,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/74570fcda893f438.txt,,,,,,,[],
pe_0002_7358936f47,hplt::10_1.jsonl.zst::016a9c64d4908e83d087775dd7178588,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.17076249999999998,10,docplayer.gr,http://docplayer.gr/4408727-I-sygkrotisi-neon-epiheiriseon-sto-plaisio-tis-epiheirimatikotitas-oi-prooptikes-exelixis-kai-oi-dyskolies-aytis-empeiriki-diereynisi-sti-hora-mas.html,53644,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/7358936f4705709c.txt,,,,,,,[],
pe_0003_aa26c6d7e4,hplt::10_1.jsonl.zst::019fe4d701a818646dccaec9d828468e,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.30680555555555555,10,www.astrologos.gr,https://www.astrologos.gr/zodia/article/47564/i-katerina-glympi-problepei-gia-tin-paraskeyi-3-aprilioy-2020,5247,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/aa26c6d7e46e3a7e.txt,,,,,,,[],
pe_0004_4ca2aa802c,hplt::10_1.jsonl.zst::0518ef1736a24dee1b6114aae99b8a8b,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E010"", ""E017""]",quarantine,0.24100543987994746,10,www.hri.org,http://www.hri.org/news/cyprus/etkt/2022/22-11-02.etkt.html,26655,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/4ca2aa802cc796a5.txt,,,,,,,[],
pe_0005_144134c9c5,hplt::10_1.jsonl.zst::05fdb8cb69cc2b9c23d603a665e7df43,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E009"", ""E010"", ""E017""]",quarantine,0.174725,10,docplayer.gr,http://docplayer.gr/7983032-2-dis-5dvd-hanoyn-oi-agrotes-kerdiste-prosfores-savvato-8-12-2012-olikh-anatroph-tis-kap-en-apoysia-mas-eidiko-afieroma-8-12-2012.html,54912,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/144134c9c545c927.txt,,,,,,,[],
pe_0006_f3c2332538,hplt::10_1.jsonl.zst::0749defcef4bae39b4c31b812ff1124f,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E017""]",quarantine,0.16704568947694853,10,youfly.com,https://youfly.com/tileorasi/erotas-fygas-oi-ithopoioi-kai-charaktires-tis-seiras-tou-open/,9674,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/f3c2332538aaa71a.txt,,,,,,,[],
pe_0007_55aee1d215,hplt::10_1.jsonl.zst::09a3577e2527ab2826a0e35bd0936d04,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E017""]",quarantine,0.17962250648537437,10,schoolpress.sch.gr,https://schoolpress.sch.gr/7thstep/archives/646,11179,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/55aee1d215649cdf.txt,,,,,,,[],
pe_0008_dbdace7641,hplt::10_1.jsonl.zst::0c35f7f6e80bf4fce93179e1bcff9773,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010""]",quarantine,0.19147778785131458,10,areiospagos.gr,http://areiospagos.gr/nomologia/apofaseis_DISPLAY.asp?cd=V996J4EUD7L6WAMLET40MXVXPFDMFC&apof=1796_2009&info=%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%20-%20%20%EF%BF%BD%EF%BF%BD&lang=EN,16545,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/dbdace7641f346b7.txt,,,,,,,[],
pe_0009_7ff6279908,hplt::10_1.jsonl.zst::0e7fbf27b2651caaf1b435a624ceb613,"[""host_hotspot_review"", ""wds_bin_10_review""]","[""host_hotspot_www.pronews.gr"", ""wds_bin_10_stratum""]","[""host_hotspot_www.pronews.gr"", ""wds_bin_10""]",[],keep,0.16333333333333333,10,www.pronews.gr,https://www.pronews.gr/elliniki-politiki/apodimoi-esteilan-epistoli-sto-elk-gia-to-skandalo-asimakopoulou-se-poies-energeies-skopeyete-na-proveite/,8098,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/7ff6279908f2f108.txt,,,,,,,[],
pe_0010_3be81108be,hplt::10_1.jsonl.zst::0f8bcfef55da292ff164b98745a8feb6,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E007"", ""E010"", ""E017"", ""E019""]",quarantine,0.2107875,10,docplayer.gr,http://docplayer.gr/4703398-I-kataskeyasimi-oytopia.html,66452,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/3be81108beed56b6.txt,,,,,,,[],
pe_0011_27e0954cca,hplt::10_1.jsonl.zst::10d70b883f21ec8dbbdeb475b0b5a5e0,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E017""]",quarantine,0.17868360438333217,10,oramatistis-df.blogspot.fr,http://oramatistis-df.blogspot.fr/search?updated-max=2011-05-03T09:52:00%2B03:00&max-results=2,14327,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/27e0954ccac3f304.txt,,,,,,,[],
pe_0012_924339c129,hplt::10_1.jsonl.zst::1100052b0a13d07c049e301efd2901b4,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.15424651052756091,10,www.haniotika-nea.gr,https://www.haniotika-nea.gr/na-min-epitrepsoyme-na-ginoyn-tzogos-ta-asfalistika-mas-dikaiomata/,8454,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/924339c12981300e.txt,,,,,,,[],
pe_0013_509f6ea666,hplt::10_1.jsonl.zst::1358b9ce5606cd157babc50f6e887220,"[""error_precision_E010"", ""wds_bin_10_review""]","[""candidate_error_E010"", ""wds_bin_10_stratum""]","[""error_precision_E010"", ""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.2106289614822038,10,docplayer.gr,http://docplayer.gr/1099188-Kanonismos-leitoyrgias-diktyoy-dedomenon-t-e-i-serron-1.html,28714,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/509f6ea666ab48b0.txt,,,,,,,[],
pe_0014_0ef34d6221,hplt::10_1.jsonl.zst::15f212c0c135ff6e408af4f9d8725cff,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E017""]",quarantine,0.1738958287965474,10,docplayer.gr,http://docplayer.gr/3205766-Tehnologiko-ekpaideytiko-idryma-ioanninon-ptyhiaki-ergasia.html,50513,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/0ef34d6221360578.txt,,,,,,,[],
pe_0015_a656a9d4b6,hplt::10_1.jsonl.zst::1707577ff98a97b7f8cab6f8ea695762,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010""]",quarantine,0.18413014136534772,10,docplayer.gr,http://docplayer.gr/1521151-Ekthesi-gia-to-ereynitiko-programma-innoregio-diadosi-tehnologion-anaptyxis-kainotomias-dr-nikos-mpilalis-anaplirotis-kathigitis-polytehneioy-kritis.html,42231,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/a656a9d4b63ec856.txt,,,,,,,[],
