primary_lang_by_rate	n_tokens	sum_greek_count	example_decoded_top5
med_Latn	13	20380037	',' | 'pa' | 'amp' | 'min' | 'Wu'
yss_Latn	31	12126364	'.' | 'ri' | 'me' | 'new' | 'God'
ban_Latn	65	7515412	'.\n' | ':\n' | 'In' | 'media' | 'Bal'
und_Beng	5	7039257	'' | 'support' | '″' | 'III' | 'Leo'
nrm_Latn	192	6818966	'0' | '2' | '\n\n\n' | 'Power' | 'ette'
vol_Latn	92	4563139	'5' | '4' | '8' | '6' | '%.'
nrf_Latn	67	3942639	'1' | '&' | '|' | 'Sc' | 'Duc'
und_Sgnw	23	2985153	'-' | '�' | 'DA' | 'Little' | 'Small'
und_Deva	22	2538995	'\n' | 'SH' | '----------------' | 'language' | 'IFT'
avk_Latn	162	2080263	'(' | ')\n' | ':' | 'World' | 'Web'
und_Grek	9	1775906	'�' | '»' | '�' | '½' | '°'
aym_Latn	179	1616906	'9' | 'P' | 'J' | 'Mercedes' | 'AP'
eng_Latn	1616	1480856	'the' | 'of' | 'and' | 'The' | 'The'
arb_Latn	27	1415580	'3' | 'al' | 'als' | 'AA' | 'Serie'
khs_Latn	42	1351634	':' | 'ola' | 'ita' | 'ena' | 'ew'
crh_Cyrl	8	1138069	'«' | '.)' | '(«' | '!)' | ')»'
swg_Latn	99	1063631	')' | '(' | 'H' | 'Sch' | 'Un'
nav_Latn	26	976929	'"' | ';' | 'B' | 'ó' | 'olin'
wal_Latn	45	917456	'7' | 'Mark' | 'ett' | 'oss' | 'ode'
kiu_Latn	236	881299	'/' | '[' | ']' | '[' | '.com'
gor_Latn	36	812405	'-' | 'oli' | 'ito' | 'RNA' | 'Band'
fro_Latn	91	722838	';\n' | '«' | ',\n' | ':\n' | 'ent'
dag_Latn	153	513123	'"' | '|' | 'FIFA' | 'Cup' | '′'
cbk_Latn	357	493823	'A' | 'O' | 'CE' | 'OS' | 'AN'
grc_Grek	9	458940	'�' | '�' | '�' | '·' | '��'
nds_Latn	159	412079	'),' | '%' | 'Bloom' | 'ern' | 'mann'
abq_Cyrl	6	348825	'»,' | 'I' | 'в' | 'г' | 'ва'
ido_Latn	71	331365	'%' | '$' | 'URL' | 'val' | 'Us'
ubu_Latn	35	329922	'“' | 'P' | 'one' | '.”' | 'mole'
bak_Cyrl	1	292458	'�'
ncx_Latn	27	285791	').' | 'T' | 'IU' | 'lam' | 'Je'
frr_Latn	60	284228	'–' | 'II' | 'Nord' | 'Beatles' | 'Nick'
mni_Latn	61	278548	'..\n' | '…' | '”' | '”\n' | 'Jack'
lld_Latn	145	275548	'T' | 'L' | 'L' | 'St' | 'ion'
quc_Latn	39	256336	'’' | 'are' | 'General' | 'Jimmy' | 'Pix'
grn_Latn	40	255367	').\n' | 'va' | 'Par' | 'ype' | 'Capital'
tlh_Latn	229	251842	'H' | 'D' | 'S' | 'IS' | 'Q'
got_Goth	1	243082	'�'
hwc_Latn	270	237830	'You' | 'you' | 'from' | 'One' | 'not'
bhl_Latn	27	236112	'!' | 'w' | 'Sun' | '-G' | 'Kate'
egl_Latn	103	229215	'C' | 'F' | 'M' | 'N' | 'IC'
war_Latn	250	219865	'il' | 'An' | 'ini' | 'ton' | 'George'
tzj_Latn	29	202485	"'" | 'ch' | 'ban' | 'Tak' | 'Per'
spy_Latn	24	198610	'/' | '+' | 'Y' | 'to' | 'room'
tzo_Latn	19	197392	'».\n' | 'box' | 'Viv' | 'SV' | 'onic'
pfl_Latn	97	196073	'!\n' | 'ff' | 'Wolf' | 'sch' | 'Un'
und_Knda	19	186223	'||' | '|\n' | '_' | '),\n' | 'Rights'
tca_Latn	27	185823	'R' | 'ü' | 'x' | 'R' | 'ma'
dak_Latn	165	184530	'S' | 'John' | 'ce' | 'Mary' | 'OK'
und_Cyrl	73	180207	'µ' | '®' | 'VA' | 'HA' | 'TH'
gag_Cyrl	16	177255	'».' | '*' | 'TM' | ']' | '-)'
mui_Latn	63	175067	'...' | '..' | '!!' | 'video' | '....'
mxq_Latn	17	174173	'�' | 'ky' | 'ty' | 'Es' | 'Net'
pdt_Latn	137	172862	'D' | 'IN' | 'EN' | 'CH' | 'ET'
rmn_Grek	14	171386	'µ' | '�' | 'Ü' | 'Ý' | 'Ü'
und_Tang	2	169278	'�' | 'Tang'
amp_Latn	71	164813	'F' | 'f' | 'if' | 'ft' | 'RO'
cuk_Latn	125	164507	'G' | 'X' | 'ad' | '-B' | '-R'
jbo_Latn	39	164127	'.' | '»\n' | 'cm' | 'ci' | 'oi'
frp_Latn	196	161105	'TV' | 'Robert' | 'SS' | 'ON' | 'Charles'
raw_Latn	16	159476	',' | '.\n' | 'sh' | 'Fair' | 'men'
cni_Latn	64	153697	'".' | 'ro' | 'ant' | 'ari' | 'ats'
pcm_Latn	225	153356	'for' | 'Guardian' | 'State' | 'UEFA' | 'For'
zyb_Latn	36	153013	'C' | 'en' | 'j' | 'iz' | 'uz'
ary_Arab	3	150870	'”' | '”.\n' | '،'
dnj_Latn	9	144993	"'" | '!»' | 'Kl' | '�' | 'Ö'
und_Bamu	15	142596	'�' | '-\n' | 'B' | 'Script' | 'version'
ded_Latn	116	139731	'New' | 'ac' | 'oc' | 'House' | 'Greek'
kal_Latn	89	137546	'ers' | 'ut' | 'ner' | 'ill' | 'ger'
gmh_Latn	207	135991	'berg' | 'land' | 'lin' | 'ack' | 'single'
und_Khmr	5	132369	'�' | '$\n' | 'earth' | 'Independent' | 'ZIP'
hif_Latn	150	131558	'Google' | 'blog' | 'Time' | 'SEO' | 'Love'
mjw_Latn	137	125354	'at' | 'College' | 'School' | 'SA' | 'Club'
dah_Latn	21	123139	'�' | 'Al' | 'de' | 'Be' | 'Kur'
ile_Latn	191	120168	'have' | 'It' | '--' | 'Nov' | 'del'
tpz_Latn	20	119782	'to' | 'ß' | 'TP' | 'Anti' | 'OH'
lin_Latn	123	119101	'email' | 'US' | 'AF' | 'ME' | 'BA'
lat_Latn	142	114914	'us' | 'um' | 'ium' | 'Qu' | 'Cur'
