run_tag,iter,tokens,name,kind,lm_loss,ppl,delta_from_first
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,25,104857600,code,forget,0.7776877,2.176434,0.0
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,50,209715200,code,forget,0.7322821,2.079822,-0.04541
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,75,314572800,code,forget,0.711354,2.036747,-0.06633
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,100,419430400,code,forget,0.6981344,2.009999,-0.07955
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,125,524288000,code,forget,0.6872206,1.988182,-0.09047
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,150,629145600,code,forget,0.6833373,1.980476,-0.09435
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,175,734003200,code,forget,0.6804022,1.974672,-0.09729
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,200,838860800,code,forget,0.6786042,1.971125,-0.09908
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,225,943718400,code,forget,0.6740984,1.962263,-0.10359
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,250,1048576000,code,forget,0.6727557,1.95963,-0.10493
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,275,1153433600,code,forget,0.6716422,1.957449,-0.10605
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,300,1258291200,code,forget,0.6695362,1.953331,-0.10815
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,325,1363148800,code,forget,0.6680684,1.950466,-0.10962
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,350,1468006400,code,forget,0.670954,1.956103,-0.10673
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,375,1572864000,code,forget,0.6672498,1.94887,-0.11044
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,400,1677721600,code,forget,0.6675468,1.949449,-0.11014
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,425,1782579200,code,forget,0.6658844,1.946211,-0.1118
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,450,1887436800,code,forget,0.6666654,1.947732,-0.11102
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,475,1992294400,code,forget,0.6655632,1.945586,-0.11212
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,500,2097152000,code,forget,0.666315,1.947049,-0.11137
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,525,2202009600,code,forget,0.6652179,1.944914,-0.11247
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,550,2306867200,code,forget,0.6649942,1.944479,-0.11269
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,575,2411724800,code,forget,0.6647208,1.943948,-0.11297
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,600,2516582400,code,forget,0.6648019,1.944105,-0.11289
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,625,2621440000,code,forget,0.6641196,1.942779,-0.11357
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,650,2726297600,code,forget,0.6652137,1.944906,-0.11247
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,675,2831155200,code,forget,0.6639259,1.942403,-0.11376
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,700,2936012800,code,forget,0.6629049,1.940421,-0.11478
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,725,3040870400,code,forget,0.6628318,1.940279,-0.11486
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,750,3145728000,code,forget,0.6625156,1.939666,-0.11517
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,775,3250585600,code,forget,0.662277,1.939203,-0.11541
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,800,3355443200,code,forget,0.6621242,1.938907,-0.11556
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,825,3460300800,code,forget,0.6615164,1.937729,-0.11617
