example_id,doc_id,subject,v2_category,rating,label,Q_verbatim,Q_paraphr,correct_A,wrong_A,exam_fmt,auth_src,reasoning_head
greekmmlu:1094,0b269871cd52315aed358642a2d5728e6bf68f764977e4551d2326bd748b6764,Civil Engineering,q_plus_correct_and_wrong,4,STRONG_CHEATING,True,False,True,True,False,False,"The marked span reproduces the benchmark stem essentially verbatim: «ενα μεταλλικο τεμαχιο που υπεβληθη σε βαφη... η διαδικασια αυτη ονομαζεται», followed immediately by «επαναφορα». There is no MCQ scaffolding or answer-key format; the marked wrong "
greekmmlu:13456,014cf8750c8f0935f1f5377035035cc02b68e14d38a63c64fcb8e31b6bca0923,Economics,q_plus_correct_only,2,TOPIC_OVERLAP,False,False,False,False,False,False,"The marked Q-stem span only matches a generic statistical lead-in, «συμφωνα με τα στοιχεια της ελστατ, το ποσοστο», but the document continues with unemployment: «ανεργιας εκτοξευτηκε στο 20,9%», not people in households below the poverty line. The m"
greekmmlu:12337,06c505ef96c20c5368ad77920a6bcecf8108792c81ebbdb44082fbdc666ce221,Physics,q_plus_correct_only,3,SOURCE_OVERLAP,False,True,True,True,False,True,"Το marked Q-span βρίσκεται μέσα σε επίσημο τεχνικό κανονισμό/υπουργική απόφαση, π.χ. «εγκαταστασεισ φυσικου αεριου με πιεση λειτουργιασ εωσ και 500 mbar», όχι σε MCQ ή answer key. Το marked correct_option «500 mbar» είναι μέρος του τίτλου/πεδίου εφαρ"
greekmmlu:1353,073f3dd31ba5bad562d39e5117861971009779e118183b9b44b7a39f98b9a2f6,Civil Engineering,q_plus_correct_only,5,DEFINITE_CHEATING,False,True,True,False,True,False,"The marked span is inside explicit exam scaffolding: the document is headed «εξετασεις θεωρητικου μερους» with tables «ερωτηση σωστη απαντηση» and numbered/lettered items. In item 7, the marked Q-stem text appears as a close paraphrase/exact core def"
greekmmlu:11861,0b269871cd52315aed358642a2d5728e6bf68f764977e4551d2326bd748b6764,Physics,q_plus_correct_only,4,STRONG_CHEATING,False,True,True,True,False,False,"The marked span is not in MCQ/exam scaffolding, but it is the same cloze definition with the answer directly recoverable: «αυτογενεισ ονομαζονται οι συγκολλησεισ τηξησ στισ οποιεσ...». The marked correct option «αυτογενεισ» is the actual term complet"
greekmmlu:14597,011e0196e354567dc9d56412cb3fb48cd6d6612d58f634abe1c9454bb2549574,Greek History,q_plus_correct_only,4,STRONG_CHEATING,False,True,True,False,False,False,"The marked Q-stem span is in prose, not exam scaffolding, but it closely matches the benchmark wording: «αντιστασιακη πραξη κατα τη διαρκεια τησ γερμανικησ κατοχησ». Immediately after it, the marked correct option appears as the answer: «η ανατιναξη "
greekmmlu:15204,06563fa81dcbaa8e93d20342bcc579f1cc56cc79b9caf0569622f374571e7fb0,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,"Το marked q_stem βρίσκεται μέσα σε σαφές εξεταστικό/MCQ πλαίσιο: «θεμα α... α1. η διπλη ελικα του dna...». Αμέσως μετά εμφανίζονται οι επιλογές με γράμματα, «α. rna πολυμεραση β. dna πολυμεραση...», και πιο κάτω υπάρχει και κλειδί «θεμα α 1. α». Άρα "
greekmmlu:14051,088690db7c52616ad326ab099685e80d8b593c0de7c61a8e99f4f76d81f6a6f3,General Knowledge,q_plus_correct_only,4,STRONG_CHEATING,False,True,True,False,False,False,"The marked span is not in MCQ/exam scaffolding, but in prose: «η αθηνα ανελαβε τη διοργανωση των ολυμπιακων αγωνων (οα) του 2004». This closely paraphrases the benchmark stem and places the correct answer «2004» immediately adjacent as the year of th"
greekmmlu:15256,011d71cf144dffb2d113a1773b0abc8f29f18c9124bcad7a221d422aabfca064,Biology,q_plus_correct_only,5,DEFINITE_CHEATING,False,True,True,True,True,False,"The marked Q-stem is inside explicit MCQ scaffolding: “ερωτησεις κλειστου τυπου” and item “4.” followed by lettered options. The marked stem closely paraphrases the benchmark (“η ενεργεια ... απο ενα κατωτερο τροφικο επιπεδο στο αμεσως επομενο”), and"
greekmmlu:1353,07f119d78e16b3e5df37c7d663f2c699537cfe646c71e5289a333dc8335dd7f0,Civil Engineering,q_plus_correct_only,5,DEFINITE_CHEATING,True,False,True,False,True,False,"Το μαρκαρισμένο q_stem βρίσκεται μέσα σε σαφή εξεταστική δομή: «πινακας α.6... α/α ... ερωτηση σωστη απαντηση» και η ερώτηση 7 έχει επιλογές «α.», «β.», «γ.». Η μαρκαρισμένη φράση περιέχει σχεδόν αυτολεξεί τον ορισμό του benchmark («ενα συστημα δυο δ"
greekmmlu:14594,072965110ddc844d105b17e82f0dc96a8eaa7223ca63c1447b2449f999a1a834,Greek History,q_plus_correct_and_wrong,2,TOPIC_OVERLAP,False,False,False,False,False,False,"Το marked q_stem περιέχει μόνο τη γενική φράση «εχασαν τη ζωη τουσ στα ναζιστικα στρατοπεδα συγκεντρωσησ», όχι το πλήρες ερώτημα για τους 70-75.000 Έλληνες Εβραίους. Το marked option «000» είναι συμπτωματικό τμήμα του «οι 2.000 ηταν απο το γκετο τησ "
greekmmlu:15368,0cec559e0b437aff93c892777627cd308c37073bf97a5d3875233ddadfea5f04,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,The marked Q-stem is embedded in clear multiple-choice exam scaffolding: «α4. σε ενα αυτοτροφο οικοσυστημα το δευτερο τροφικο επιπεδο ... α. παραγωγουσ β. καταναλωτεσ 1ησ ταξησ ... μοναδεσ 5». The marked correct option is one of the adjacent lettered
greekmmlu:15290,06ff6fca469a3eced16c24c0c9d1c304f67900561edad76c4418eb551165606c,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,Το σημειωμένο ταίριασμα βρίσκεται μέσα σε σαφή εξεταστική/MCQ δομή: «απαντησεισ βιολογια... 5. η απομακρυνση του νερου απο τα στοματα των φυλλων ονομαζεται α. κυτταρικη αναπνοη. β. διαπνοη». Το στέλεχος εμφανίζεται ουσιαστικά κατά λέξη και ακριβώς δί
greekmmlu:15381,034c4972d9be506c75332f8490142786b7df7023b40ed0106dae6dac2db13028,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,"Το σημειωμένο τμήμα περιέχει αυτούσιο το benchmark stem: «ποιοσ απο τουσ παρακατω οργανισμουσ χαρακτηριζεται ωσ αυτοτροφοσ». Αμέσως μετά υπάρχει σαφής μορφή πολλαπλής επιλογής με αριθμημένες απαντήσεις: «1. αλεπου 2. βατραχοσ 3. βελανιδια 4. ψυλλοσ»,"
greekmmlu:15381,018162977b17198587e4cc51408323af80f0686f878c0904f698a967d037c600,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,Το σημειωμένο απόσπασμα περιέχει αυτούσια την ερώτηση: «ποιοσ απο τουσ παρακατω οργανισμουσ χαρακτηριζεται ωσ αυτοτροφοσ;» και αμέσως μετά αριθμημένες επιλογές «1. αλεπου 2. βατραχοσ 3. βελανιδια 4. ψυλλοσ». Αυτό είναι σαφές scaffolding πολλαπλής επι
greekmmlu:15381,01b0939a0763adbdf87273ebec0458c2beda58306a1eff41892c783daefd7612,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,The marked span contains the benchmark stem verbatim: «ποιος απο τους παρακατω οργανισμους χαρακτηριζεται ως αυτοτροφος;» followed immediately by numbered MCQ options «1. αλεπου 2. βατραχος 3. βελανιδια 4. ψυλλος». The marked «βελανιδια» is present a
greekmmlu:15381,085f8e18126f791ad1c823719cc9dd7306a2f6346dd1b245ff31a9e06ce4074e,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,Το marked span περιέχει αυτούσιο το ερώτημα «ποιος απο τους παρακατω οργανισμουσ χαρακτηριζεται ωσ αυτοτροφοσ» και αμέσως μετά αριθμημένες επιλογές: «1. αλεπου 2. βατραχοσ 3. βελανιδια 4. ψυλλοσ». Αυτό είναι σαφές MCQ/exam scaffolding με την ίδια σωσ
greekmmlu:15381,0c077cf50fc58b8212143bb528606eabd4eab0723e5cb888c92946098ce7688a,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,Το marked span βρίσκεται σε σαφή εξεταστική μορφή: «θεματα οικολογιασ 1. ποιοσ απο τουσ παρακατω οργανισμουσ χαρακτηριζεται ωσ αυτοτροφοσ;» και ακολουθούν αριθμημένες επιλογές «1. αλεπου 2. βατραχοσ 3. βελανιδια 4. ψυλλοσ». Η ερώτηση εμφανίζεται ουσι
greekmmlu:15381,0bb9e60d7e4ba41c2dd8960ed2965a3dd4b989fe3442b4a86aef220bf8b69b55,Biology,q_plus_correct_and_wrong,5,DEFINITE_CHEATING,True,False,True,True,True,False,Το marked span περιέχει αυτούσιο το ερώτημα «ποιος απο τους παρακατω οργανισμους χαρακτηριζεται ως αυτοτροφος;» μέσα σε σαφή ακολουθία θεμάτων πολλαπλής επιλογής: «θεματα οικολογιασ 1.» και αμέσως μετά αριθμημένες επιλογές «1. αλεπου 2. βατραχοσ 3. β
greekmmlu:158,08d249cb1e7af8d7c55aac255b1d6beddbac96b843e9cddd5e096cd969df43bb,Agriculture,q_plus_correct_and_wrong,4,STRONG_CHEATING,True,False,True,True,False,False,Το σημειωμένο q_stem περιέχει σχεδόν κατά λέξη την ερώτηση: «το γαλα ειναι το μοναδικο τροφιμο... την υψηλησ βιολογικησ σημασιασ πρωτεινη» και αμέσως μετά δίνει την απάντηση «γνωστη ως καζεινη». Δεν υπάρχει MCQ/εξεταστική σκαλωσιά ή answer key με επι
greekmmlu:15758,0cfc4c73d8d131cba6dca5fc1868fa3d7cb79d214f9f8ba871e2df3acae39896,Physics,q_plus_correct_only,4,STRONG_CHEATING,True,False,True,False,False,False,Το σημειωμένο απόσπασμα περιέχει αυτούσιο το stem «ο ερασιτεχνης απαγορευει τη χρηση του σταθμου του» και αμέσως μετά τη σωστή απάντηση «σε οποιονδηποτε που δεν διαθετει τα νομιμα προσοντα και οταν δεν ειναι παρων ο ιδιος». Δεν υπάρχουν δίπλα αριθμημ
greekmmlu:15726,07badd8646e43bbeab8b4b1b41d8d954c01a492ec9f05b5e0724372be9b10c43,Physics,q_plus_correct_and_wrong,3,SOURCE_OVERLAP,False,True,True,False,False,True,"Το marked q_stem βρίσκεται μέσα σε αριθμημένη κανονιστική διάταξη, όχι σε MCQ: «σε περιπτωσεις παυσης της νομιμης λειτουργιας...». Η marked correct_option είναι η συνέχεια της ίδιας διάταξης («οφειλει αμελλητι να κατεδαφιζει τις κατασκευες κεραιας..."
greekmmlu:15726,0cfc4c73d8d131cba6dca5fc1868fa3d7cb79d214f9f8ba871e2df3acae39896,Physics,q_plus_correct_and_wrong,4,STRONG_CHEATING,False,True,True,False,False,False,"The marked region contains the benchmark condition almost verbatim: «σε περιπτωσεις παυσης της νομιμης λειτουργιας... (ανακληση, παυση ισχυος...)», immediately followed by the answer in prose: «ο κατοχος... οφειλει αμελλητι να κατεδαφιζει τις κατασκε"
greekmmlu:16182,0d0873253f78f1dbba3ba1d540bdbe8605c3da62fbb2c3473ba683e5644c008c,Maritime Safety and Rescue Operations,q_plus_correct_and_wrong,3,SOURCE_OVERLAP,True,False,True,False,False,True,"The marked span is in an official municipal tender/specification under “αρθρο 3 ο προσωπικο” and “υποχρεωσεισ ναυαγοσωστη,” not in MCQ or answer-key scaffolding. It contains the benchmark stem and rule text directly: “ο ναυαγοσωστησ κατα την εκτελεση"
greekmmlu:16220,06c976487308ac29d30b04b2959f792c17571723f0bd370dfc35fdd105c3be58,Maritime Safety and Rescue Operations,q_plus_correct_and_wrong,3,SOURCE_OVERLAP,True,False,True,False,False,True,"Το σημασμένο απόσπασμα είναι κανονιστική/νομική πρόζα: «η θεωρητικη εξεταση γινεται... κατα τισ ορισμενεσ ημερομηνιεσ και ωρεσ, χωρισ να επιτρεπεται η εισοδοσ... δεν εχουν σχεση με τισ εξετασεισ». Δεν παρουσιάζεται ως ερώτηση GreekMMLU με επιλογές Α/"
