review_queue_id,source_doc_id,review_tasks,priority_reasons,candidate_error_type_ids,candidate_action,confidence,quality_bin,host,url,chars_before,doc_text_path,review_label,review_true_error_type_ids,review_correct_action,review_good_text_loss_risk,review_false_positive_reason,review_false_negative_error_ids,review_notes
rq_0001_f07b0cc545,hplt::10_1.jsonl.zst::1fbd938fe31d06c3f9c71e20d3960004,"[""precision_E017""]","[""candidate_error_E017""]","[""E009"", ""E010"", ""E017""]",quarantine,0.210546875,10,docplayer.gr,http://docplayer.gr/132094-Emporio-vasiki-pigi-anaptyxis-kai-apasholisis-gia-tin-ee.html,66375,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/f07b0cc545324545.txt,,[],,,,[],
rq_0002_ef7f4d1c98,hplt::10_1.jsonl.zst::2d1495a12d56f9a24d65e5dcf912d2da,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/7803649-Plirofories-gia-daskaloys-koinonikofs-leitoyrgofs-kai-omades-nzon.html,23698,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/ef7f4d1c98a3e228.txt,,[],,,,[],
rq_0003_c122dcdb03,hplt::10_1.jsonl.zst::2f7ddce3e70619e1ce95c3fc7e11925e,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E004"", ""E014"", ""E017""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/1898387-Dlos-a-d-south-east-europe-programme-see.html,39093,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/c122dcdb03f120f7.txt,,[],,,,[],
rq_0004_97ae683816,hplt::10_1.jsonl.zst::31e0f1e5320833f0c6809e5a32debc82,"[""precision_E007""]","[""candidate_error_E007""]","[""E004"", ""E007"", ""E010"", ""E017"", ""E019""]",quarantine,0.20775238369028795,10,docplayer.gr,http://docplayer.gr/8429375-Leonteio-lykeio-neas-smyrnis-th-sofoyli-2-171-22-nea-smyrni-til-2109418011-fax.html,41742,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/97ae683816d97906.txt,,[],,,,[],
rq_0005_7f663a6dd8,hplt::10_1.jsonl.zst::37ecc60c1a36a2bc607bf2afeadc1e3a,"[""precision_E009""]","[""candidate_error_E009""]","[""E004"", ""E009"", ""E010"", ""E017""]",quarantine,0.15987256534646296,10,docplayer.gr,http://docplayer.gr/3903158-Elliniki-dimokratia-nomos-magnisias-dimos-voloy-dimotiki-enotita-voloy-dieythynsi-tehnikon-ypiresion-grafeio-antidimarhoy-volos-24-5-2012-ar-prot.html,41433,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/7f663a6dd8b85fb8.txt,,[],,,,[],
rq_0006_b588183720,hplt::10_1.jsonl.zst::613c7e957f5ac3f0fd4db6edc4f6dc80,"[""precision_E003"", ""precision_E017""]","[""candidate_error_E003"", ""candidate_error_E017""]","[""E003"", ""E007"", ""E015"", ""E017"", ""E019""]",quarantine,0.8564913772738009,10,docplayer.gr,http://docplayer.gr/5527116-Glossario-afirimeni-syntaxi-afirimeno-syntaktiko-dendro-asd-afirimenos-typos-prospelastiki-parapompi-haraktirismos-prospelasimotitas.html,23792,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/b5881837202997d1.txt,,[],,,,[],
rq_0007_645fbd97fc,hplt::10_1.jsonl.zst::653f39dd2b716f076b29eed540934d29,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/2218008-Kopo-si-dkthdi-pdridhomdna.html,39906,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/645fbd97fc9666c4.txt,,[],,,,[],
rq_0008_e1b61ccf6e,hplt::10_1.jsonl.zst::65d0dd4750a03b30ae569cd811567b0f,"[""precision_E006""]","[""candidate_error_E006""]","[""E006"", ""E007"", ""E009"", ""E010""]",quarantine,0.46567307692307697,10,erimosiparalia.blogspot.com,http://erimosiparalia.blogspot.com/2008/10/blog-post_22.html,9825,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/e1b61ccf6e3d04c5.txt,,[],,,,[],
rq_0009_03f0875949,hplt::10_1.jsonl.zst::682bf46d0fffbd2d657cdf1d46715ac6,"[""destructive_action_review"", ""precision_E016""]","[""candidate_action_drop_doc"", ""candidate_error_E016""]","[""E016"", ""E017""]",drop_doc,0.2580271241083441,10,el.tipsandtrics.com,https://el.tipsandtrics.com/improve-your-hard-drive-s-health-with-drive-genius-3-753512,13131,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/03f087594966d50a.txt,,[],,,,[],
rq_0010_4898ecab80,hplt::10_1.jsonl.zst::9a5d5f516fdbbf772ee80e2fde1f6a8e,"[""precision_E017""]","[""candidate_error_E017""]","[""E004"", ""E017""]",quarantine,0.20854355869492094,10,sikam.wordpress.com,http://sikam.wordpress.com/2010/01/23/%CE%B2%CE%B9%CE%B2%CE%BB%CE%B9%CE%BF-%CE%B3%CE%BB%CF%89%CF%83%CF%83%CE%B1%CF%82-%CE%B1-%CE%B4%CE%B7%CE%BC%CE%BF%CF%84%CE%B9%CE%BA%CE%BF%CF%85-%CE%BC%CE%B9%CE%B1-%CF%80%CF%81%CF%89%CF%84%CE%B7-%CE%B1/,11892,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/4898ecab809486ce.txt,,[],,,,[],
rq_0011_d88846e578,hplt::10_1.jsonl.zst::9f039ac48a9cb085e9377fa80b992534,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/42618513-Praini-vivlo-zreiitha-ke-iel-pnifieia-isl-gesxgithpsl-pxntflisl-pxfippa-pxntflisl-apaiiizeio-gia-ie-gesxgithi-paxagsgi-thai-zpziikaia-pnifieiao.html,29931,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/d88846e5788babe7.txt,,[],,,,[],
rq_0012_9d353edd06,hplt::10_1.jsonl.zst::a0154a81615109d29ca9cfd2e374be3f,"[""precision_E008""]","[""candidate_error_E008""]","[""E004"", ""E006"", ""E007"", ""E008"", ""E009"", ""E017"", ""E019""]",quarantine,0.45517857142857143,10,www.refurbishstore.gr,https://www.refurbishstore.gr/%CF%80%CE%BF%CE%BB%CE%B9%CF%84%CE%B9%CE%BA%CE%AE-%CE%B1%CF%80%CE%BF%CF%81%CF%81%CE%AE%CF%84%CE%BF%CF%85/,11538,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/9d353edd0673f186.txt,,[],,,,[],
rq_0013_208b4deb01,hplt::10_1.jsonl.zst::a4390589ccfca6362ae46bb99049c03d,"[""precision_E009""]","[""candidate_error_E009""]","[""E007"", ""E009"", ""E010"", ""E017"", ""E019""]",quarantine,0.253125,10,oneirokriths.net,https://oneirokriths.net/ermineies-ennoies-oneiron/%CE%BA%CE%AC%CE%BD%CE%B5%CE%B9%20%CE%B3%CE%B9%CE%BF%CE%B3%CE%B9%CF%8C,120089,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/208b4deb0135ac49.txt,,[],,,,[],
rq_0014_0e26b538bd,hplt::10_1.jsonl.zst::aae11de515c5a7d9e9e9ec6b6c23026d,"[""precision_E017""]","[""candidate_error_E017""]","[""E004"", ""E006"", ""E007"", ""E008"", ""E017""]",quarantine,0.35,10,docplayer.gr,http://docplayer.gr/7196785-Mathima-epikoinonies-dedomenon-kai-tehnologies-internet.html,29150,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/0e26b538bd95774b.txt,,[],,,,[],
rq_0015_66e27f6b2b,hplt::10_1.jsonl.zst::ab57fae659f86e75b9e0500b88e481d9,"[""precision_E007"", ""precision_E019""]","[""candidate_error_E007"", ""candidate_error_E019""]","[""E007"", ""E019""]",quarantine,0.13884506153360682,10,beasty.gr,https://beasty.gr/10-vimata-gia-na-ginete-syngrafeas/,6338,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/66e27f6b2b02299c.txt,,[],,,,[],
rq_0016_8051ec2e42,hplt::10_1.jsonl.zst::b430ffebc5f180e23728801ab6f55017,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E004"", ""E014"", ""E017""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/6059500-So-oikologiko-khnos-toy-soyrismof-stthn-ellada.html,47866,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/8051ec2e42dcd12a.txt,,[],,,,[],
rq_0017_c8d6e64363,hplt::10_1.jsonl.zst::b866834f16a44fbcffcbc49385da3a5e,"[""precision_E007"", ""precision_E019""]","[""candidate_error_E007"", ""candidate_error_E019""]","[""E004"", ""E007"", ""E009"", ""E010"", ""E017"", ""E019""]",quarantine,0.253125,10,docplayer.gr,http://docplayer.gr/5874070-Asfaleia-sto-diadiktyo-kai-se-alles-diadrastikes-tehnologies-ereynitiki-ergasia-2oy-tetraminoy-v-lykeioy.html,147461,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/c8d6e643635daebd.txt,,[],,,,[],
rq_0018_2a0eeb1934,hplt::10_1.jsonl.zst::c60c5547fc2d21f27e72edfb0f608833,"[""precision_E004""]","[""candidate_error_E004""]","[""E004"", ""E007"", ""E009"", ""E010"", ""E017"", ""E019""]",quarantine,0.253125,10,docplayer.gr,http://docplayer.gr/1186093-A-fiepoma-oi-ellines-stin-ispania-2-32-afiepoma-gi-ta-myptsi-th-kypiakh-17-ianoyapioy-1999.html,95894,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/2a0eeb1934e1793c.txt,,[],,,,[],
rq_0019_74c48e7d58,hplt::10_1.jsonl.zst::e5356590f59434a546810a210b520bfa,"[""destructive_action_review"", ""precision_E014"", ""precision_E017""]","[""candidate_action_drop_doc"", ""candidate_error_E014"", ""candidate_error_E017""]","[""E004"", ""E010"", ""E014"", ""E017""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/13486500-Kati-tis-proedryas-tis-dimokratyas-ton-athinon-kati-ton-kommiton-kati-voyleyton.html,43309,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/74c48e7d58c7ea74.txt,,[],,,,[],
rq_0020_a8b7b41db4,hplt::8_1.jsonl.zst::006af52e7a4dfb14d48e3130cc9c1863,"[""precision_E004"", ""precision_E008""]","[""candidate_error_E004"", ""candidate_error_E008""]","[""E004"", ""E006"", ""E007"", ""E008"", ""E009"", ""E017""]",quarantine,0.5264393492071395,8,www.welcomemarket.gr,http://www.welcomemarket.gr/wshop/index.php/2015-10-15-09-57-35,20081,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/a8b7b41db4f4b0f3.txt,,[],,,,[],
rq_0021_f51a9fd057,hplt::8_1.jsonl.zst::00bdd0b9f3d7410f3db9551939ddf7e6,"[""destructive_action_review"", ""precision_E014""]","[""candidate_action_drop_doc"", ""candidate_error_E014""]","[""E014""]",drop_doc,1.0,8,paperzz.com,https://paperzz.com/doc/5205157/%CE%B4%CE%B5%CE%BB%CF%84%CE%AF%CE%BF-%CF%84%CF%8D%CF%80%CE%BF%CF%85,3887,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/f51a9fd057bcbc0c.txt,,[],,,,[],
rq_0022_08a8d97e55,hplt::8_1.jsonl.zst::075063b9011c5f8782895c867c30313a,"[""borderline_false_negative_probe""]","[""borderline_no_candidate_error""]",[],keep,0.33155978717446094,8,theatreworld.wordpress.com,https://theatreworld.wordpress.com/2009/05/03/%CF%84%CE%BF-%CE%BC%CE%B5%CE%B3%CE%AC%CE%BB%CE%BF-%CF%80%CE%AD%CF%81%CE%B1%CF%83%CE%BC%CE%B1-%CF%83%CF%84%CE%BF-%CE%B1%CF%80%CF%8C%CE%BB%CF%85%CF%84%CE%BF-%CE%BA%CE%B1%CE%BA%CF%8C-%CE%B7-%CF%81/,3571,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/08a8d97e55eb261c.txt,,[],,,,[],
rq_0023_80259cf7c8,hplt::8_1.jsonl.zst::077d37a9df1afaf0167f3ef82820006c,"[""borderline_false_negative_probe""]","[""borderline_no_candidate_error""]",[],keep,0.25561580170410536,8,www.zougla.gr,https://www.zougla.gr/politismos/sinema-politismos/article/kinimatografikes-premieres-oti-pezi-sta-sinema-apo-23-ianouariou-2020,5164,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/80259cf7c887635f.txt,,[],,,,[],
rq_0024_5999e0e861,hplt::8_1.jsonl.zst::07bbc4e3224daff6bcd1c00c6c529743,"[""destructive_action_review"", ""precision_E010""]","[""candidate_action_drop_doc"", ""candidate_error_E010""]","[""E010"", ""E014""]",drop_doc,0.9925060306207847,8,underinformation.wordpress.com,https://underinformation.wordpress.com/2012/09/11/%CE%B3%CE%B9%CE%B1%CF%84%CE%AF-%CE%B5%CE%B3%CE%BA%CE%B1%CF%84%CE%B1%CE%BB%CE%B5%CE%AF%CF%80%CF%89-%CF%84%CE%B7%CE%BD-%CE%BF%CF%81%CE%B3%CE%AC%CE%BD%CF%89%CF%83%CE%B7-%CF%84%CF%89%CE%BD-%CE%BC/,27791,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/5999e0e86176426b.txt,,[],,,,[],
rq_0025_720467d425,hplt::8_1.jsonl.zst::096626b3f83f5396fafd91cb9436eb06,"[""precision_E010""]","[""candidate_error_E010""]","[""E010""]",quarantine,0.22198805760449597,8,www.sdna.gr,http://www.sdna.gr/podosfairo/superleague/article/329729/kompotis/levadeiakos,8541,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/720467d4254c0d9b.txt,,[],,,,[],
rq_0026_a36011cacb,hplt::8_1.jsonl.zst::0cf5e6f7d6ff737bc1515c626a207ade,"[""false_negative_control""]","[""global_random_no_candidate_error""]",[],keep,0.2787682333873582,8,diplomaticpoint.com,https://diplomaticpoint.com/tag/%CE%B1%CE%BC%CF%85%CE%BD%CE%B1/,2468,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/a36011cacb1e6538.txt,,[],,,,[],
rq_0027_163645182c,hplt::8_1.jsonl.zst::1231c3444bfd779c4ef09fba01b9234c,"[""false_negative_control""]","[""global_random_no_candidate_error""]",[],keep,0.23741935483870968,8,www.laimitomos.com,https://www.laimitomos.com/euro-2020-%CE%B2%CE%AD%CE%BB%CE%B3%CE%B9%CE%BF-vs-%CE%B9%CF%84%CE%B1%CE%BB%CE%AF%CE%B1-%CE%BA%CE%B1%CE%B9-%CE%B5%CE%BB%CE%B2%CE%B5%CF%84%CE%AF%CE%B1-vs-%CE%B9%CF%83%CF%80%CE%B1%CE%BD%CE%AF%CE%B1/,2325,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/163645182c0fd702.txt,,[],,,,[],
rq_0028_d9e7d18c99,hplt::8_1.jsonl.zst::157f458bde6e813d19505f4528f7154c,"[""borderline_false_negative_probe""]","[""borderline_no_candidate_error""]",[],keep,0.2547610681658468,8,www.goalpost.gr,https://www.goalpost.gr/archives/7307,1765,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/d9e7d18c99a39838.txt,,[],,,,[],
rq_0029_6afdf118ad,hplt::8_1.jsonl.zst::15ebc61fa7ecf4097d854871b044cca8,"[""precision_E004""]","[""candidate_error_E004""]","[""E004"", ""E017""]",quarantine,0.20851433536055602,8,maria-tsil.blogspot.com,http://maria-tsil.blogspot.com/2017/09/vankouver-3-public-market-grandville.html,4604,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/6afdf118ad699ecd.txt,,[],,,,[],
